今 古
锅盆洞 甑筚山
桃花洞 杨叶湖
石桥洞 铜鼓山
板桥洞 芦席湾
悬珠洞 化铁炉
芭蕉坳 梧桐山
木瓜渡 芭蕉湖
铜盆洞 石板陵
茅栗铺 胡椒山
草鞋岭 扁担洲
柘港洞 梅溪桥
摩斗岭 磨刀坑
柳树厂 杨林街
风扇洞 磨盘洲
铜盆坳 宝塔河
北斗岭 南屏山
布袋口 舵杆洲
自成垸 相思山
平田铺 磊石山
自成垸 新开塘
小桥岭 大矶头
青冈驿 黄沙街
九马嘴 五龙山
清水岭 白泥湖
三家店 八仙桥
白湖煅 乌江桥
八百市 二三都
土马坳 金鸡亭
石牛岭 金鹗山
青林洞 白石湖
龙湾港 龟山湖
朱家洞 黄道山
养马窖 斩龙潭
黄岸市 乌江桥
龙过岭 雷步桥
白石岭 黄沙湾
相公岭 司马冲
钓鱼洞 落马桥
韩婆坳 刘公矶
倒发洞 削皮尖
龙过岭 雷分丘
媳妇岭 公子桥
大嘴港 画眉湾
大王洞 公子桥
洪水港 大云山
望夫岭 步仙桥
葛仙嘴 关王桥
仰山铺 分水桥
三溪港 七里山
七家埠 十步桥
五里铺 半边街
冷水铺 大云山
富贵洞 长安桥
鱼肚白 狮子头
猫儿眼 黄金印
绿锡包 炒三冬
制半夏 子为政
丑表功 巧对：
金芍药 玉芙蓉
金凤尾 墨虎髯
金如意 玉美人
金丝菊 粉玉兰
万寿菊 西番莲
金十字 铁莲花
紫蟹爪 黄鹤翎
金佛手 黄鹤翎
玉虎坠 黄鹤楼
墨香馆 花玉楼
白玉钻 黄金针
青玉案 黄金针
墨香管 粉玉针
黑龙爪 紫虎髯
雄黄阵 牡丹亭
乌拉布 蚕吐丝
虞黄昊 李青云
马骚鼠 熊凤凰
马龙骥 熊凤凰
刘狗彘 裴龙驹
严白虎 祁黄羊
杨杏佛 李芋仙
赵青雀 段白骧
秦一爵 赵三骐
叶南雪 林北云
崔黄叶 方白莲
黄乐地 白悲尘
刘黑闼 寇白门
吴亚北 黄二南
朱荛圃 黄黎洲
房箕尾 张柳星
王春脚 罗秋心
查八十 沈万三
青乌子 黄丹书
刘月白 张雨苍
石贞石 金吉金
程十发 李二心
周白地 刘青天
陆云士 邢雨民
林风竹 柳月笙
魏犀首 爨龙颜
张黑女 贾黎民
徐卧虎 张猛龙
朱竹诧 黄柳霜
荀林父 李檀园
刘剑胆 朱琴心
麒麟客 马鸿宾
李叔虎 叶小鸾
李栖凤 叶衍兰
马麟善 羊鸦仁
唐伯虎 张季鹰
丹朱子 白墨生
眭白兔 许墨龙
愚愚子 嚣嚣生
王白虎 刘青龙
夏辛酉 楚子庚
范文虎 王慧龙
李八骏 雷一龙
皮豹子 李猪儿
谢白面 陆素心
阎古古 毛乾乾
黄膺白 朱霁青
关盼盼 柳依依
宋楚楚 沈关关
王保保 孙明明
喀喀木 浊浊浑
熊鸣鹄 鲍成龙
叶玉虎 苟金龙
孺羊肩 马凤毛
韩玉汝 张金吾
乔百一 沈万三
吴五风 丁六鳌
羊舌虎 卢元龙
猱师狗 猪婆龙
三脚猫 四眼狗
牵头皮 搔脚底
鬼打鬼 人托人
打片马 耍单枪
三张脸 两样心
说天话 出风头
烧冷灶 当小秧
吐寿字 卖训书
寻开心 扳差头
吃耳光 扳面孔
曲辫子 蹙眉头
搂白相 挑红人
咬耳朵 嚼舌根
兜天袋 鲊人坑
紧箍咒 松活钱
拼瘦劲 打干帮
耍手段 弹眼皮
做春梦 打秋风
踏后影 挡头阵
撒烂污 寻开心
小把戏 老好人
很脚色 老面皮
赤腿汉 黄脚郎
忘八蛋 杀千刀
杀底货 捎夹页
拍马屁 吹牛皮
赤脚雪 乌头风
敲竹杠 掮木梢
三只手 五分头
拔短梯 穿跳板
马后炮 人来风
黄昏探 白日藏
活造孽 生办蛮
大蠢棒 小奴才
生菩萨 活阎王
堆罗汉 送梓幢
说广话 调京腔
集文选 集诗品
集诗评 集文史
集陶诗 集李诗
集杜诗 集韩诗
集唐诗 集苏诗
多且旨 醉言归
匪报也 曷至哉
彼作矣 胡得焉
岁其有 夜未央
振振鹭 乘乘黄
指其掌 根于心
义外也 礼后乎
载华岳 逾梁山
可也简 鲜矣仁
三年学 一人陶
漆雕开 柳下惠
集石鼓 集三坟
集古籀 集钟鼎
开盘笑 回味甜
十样锦 百丑图
步步高 只只好
走东路 吸西风
车夫子 船家长
摄土地 唗将军
吃白食 受清斋
大鼻头 小耳垜
死干证 活招牌
十八变 五百年
孟婆汤 东坡肉
过时风 一国俭
破头先 隙里会
呕心血 磨日光
四腮鲈 独脚虎
开盘笑 回味甜
十样锦 百丑图
步步高 只只好
走东路 吸西风
车夫子 船家长
摄土地 唗将军
吃白食 受清斋
大鼻头 小耳垜
死干证 活招牌
十八变 五百年
孟婆汤 东坡肉
过时风 一国俭
破头先 隙里会
呕心血 磨日光
四腮鲈 独脚虎
牛皮菜 马齿苋
四眼井 八角亭
家无儋石 气雄万夫
得三隅法 是一转机
具神通力 生欢喜心
德配天地 道冠古今
小山承盖 大河前横
雨匀春圃 华覆平泉
凛凛生气 悠悠苍天
为臣止敬 作易有忧
犹龙遗体 道德真源
弦歌渺矣 吾道非耶
凤峙纪异 麟绂呈祥
佑彼周室 弘我汉京
谁非过客 花是主人
龙门胜概 伊阙云连
义参天地 道衍春秋
世外桃源 归元之路
勤求古训 博采众方
得未曾有 从无始来
书城巨观 人间罕睹
大汉千古 先生一人
玉成桃李 海涌波澜
树犹高卧 我亦归来
君子好趣 弥勒同龛
天覆地载 山高水长
以文会友 与石为徒
印传东汉 社结西泠
杜预左癖 道济长城
黄泽不竭 老子其犹
天开图画 人在蓬莱
道启东南 贤诣升堂
高山仰止 大河前横
由退思进 因忙得闲
休来求我 只去问心
汉高故里 古宋遗风
龙兴盛世 华见明章
文秉枢衡 武存嗣荫
恩传三锡 家衍千名
三朝阁老 九省疆臣
凛凛生气 悠悠苍天
一门朴学 两代宗师
百年大儒 一代经师
谐谑妙笔 千载生辉
仗怪以力 取经唯诚
华夏正气 千载英烈
待东边月 傲南面王
铅熔月晕 码逐星流
金气多寿 匠心自工
万古流传 气节千载
静为绿水 闹是酒家
修其天爵 教以人伦
饮建业水 看蒋山云
幽森静妙 典雅怡情
香漫清野 色压芳邻
度盃万顷 传灯十方
风行天上 香滴人间
移花得蝶 买石饶云
登斯楼也 大哉观乎
仙人旧馆 文章奥区
山川异域 风月同天
竹影参差 鸟声上下
寒玉作响 飞泉仰流
文章华国 诗礼传家
奇峰献玉 峭碧垂云
竹外山影 花间水香
仁心为质 大德为生
仁里德邻 放开眼界
立定脚跟 廿年缔构
韩潮苏海 陶菊周莲
汉唐古郡 淮海名区
腾蛟起风 紫电青霜
杜奸裕运 秉掣持平
两淮文献 万世师模
明体达用 论秀书升
振兴文教 乐育英才
江山如画 鱼鸟亲人
仙踪万古 神迹千秋
神泉著润 流水高山
千岩竞秀 万壑争流
彤天涌日 碧流连云
皇帝万岁 众神千秋
素王千古 名教万邦
万世师表 生民未有
天与寿参 德齐寿载
高深莫赞 广大无疆
德侔天地 道贯古今
功重万世 德贯百王
德音永飨 师表常尊
卓冠贤科 优入圣域
三晋良将 一堂忠义
恕同文武 志在春秋
山间明月 江上清风
惟楚有材 于豳斯馆
惟酒无量 有仙则名
从心所欲 随遇而安
鸣扬万壑 水击千崖
大千世界 不二法门
金铺大地 轮转法华
慈航普渡 云路同登
地因春暖 花待时开
一切有情 山川异域
党纪似铁 军令如山
三元古观 百粤名山
到清凉景 生欢喜心
郁郁佳气 泱泱大风
人间胜境 天上云居
梅寒而秀 竹瘦而寿
西方自在 法界皆春
听鸟说甚 问花笑谁
道接东莱 道崇东鲁
潇湘秋雨 平沙落雁
山气夕佳 因树为屋
湖光一色 堤柳万家
注经世业 捧檄家声
声驰捧檄 绪衍传经
清风如故 溪水钟灵
白云堆里 莲花界中
石奇寺古 洞豁泉幽
杨枝甘露 林屋清风
荆衡秀气 邹鲁遗风
月色如故 江流有声
云间天上 顶上圆光
大江东去 佛法西来
瞿塘峡险 白帝城高
波高城矮 地少天多
水天一色 风月无边
敷尘说经 半轮秋月
遗世独立 以天为徒
月色如昼 江流有声
大江东去 群山西来
水天一色 梅竹双清
人间净土 江上峰青
禹犁题柱 朱笔图河
双峰虎啸 孤洑龙吟
天监有赫 后德无疆
天监厥德 后来其苏
大欢喜地 小竺迦天
流水今日 明月前身
福如东海 寿比南山
福同海阔 寿与天齐
松苍柏翠 人寿年丰
名高北斗 寿以人樽
呈辉南极 霞焕椿庭
樽开北海 曲奏南薰
人增高寿 天转阳和
天地同寿 日月齐光
人歌上寿 天与遐龄
蝉鸣高柳 鹤栖长松
人歌上寿 天与稀龄
芝荣五色 图献九如
河山并寿 日月双辉
椿萱并茂 庚婺同明
夫妻偕老 庚婺双辉
双星天象 全福人家
双寿共道 两星齐明
夫妻恩爱 家庭幸福
云开五色 户拱三星
互助互爱 相敬相亲
月明金屋 香喷玉屏
双燕齐飞 合家欢乐
五夜通明 天开美景
风清月朗 灯彩星辉
无边春色 有庆年头
光天满月 火树银花
月光皎洁 银烛辉煌
月光照耀 银蜡辉煌
金吾不禁 玉漏莫催
星桥铁锁 火树银花
树梢银花 心上春意
音可观乎 士何大焉
缘来垂迹 应尽还源
实无法得 岂有佛成
心能转物 念不着空
莫争不急 但念无常
佛何能测 人不易知
如空而住 知幻即离
从闻得智 以信除疑
国家将兴 穷不失义
富而无骄 後而好学
虚心为竹 清节而秋
见机而作 入土为安
死的光荣 愿闻己过
壁立千仞 无欲则刚
山川秀丽 社会文明
与时俱进 继往开来
年逢大有 民过小康
博通上下 雅集古今
胸中波澜 笔底风雷
梅香入梦 竹影横窗
友天下士 读古今书
春回大地 福满人间
人勤物阜 国秦民安
六畜兴旺 五谷丰登
一元复始 万象更新
闻鸡起舞 跃马争春
六韬三略 四书五经
二三四五 六七八九
望梅止渴 画饼充饥
书生脚短 天子门高
俭可助廉 事理通达
心气和平 海纳百川
有容乃大 一轮明月
四壁清风 贫不学吝
默无过言 干国家事
读圣贤书 浮舟沧海
人歌上寿 天与稀龄
椿萱并茂 庚婺同明
河山并寿 日月双辉
家中全福 天上双星
名高北斗 寿比南山
德为世重 寿以人尊
东风入户 喜气盈门
革命伴侣 幸福家庭
韩康利薄 橘井泉甜
精心炮制 热诚经营
露根固本 仙草延年
一囊春贮 九鼎云英
有药皆妙 无丹不灵
聚蓄百药 平康兆民
君行且止 宾至如归
南来北往 夜宿晓行
大烹以养 小住为佳
南来北往 宾至如归
金柳摇翠 玉树摆枝
匠心独运 着手成春
云母开屏 水心铸镜
碧水常流 山川毓秀
松柏常青 香飘四季
绿满九洲 苍松倚日
翠竹凌云 高山埋宝
林海藏金 庭荣松柏
春好景新 槽头兴旺
厩内平安 人勤春草
草发畜肥 猪羊满圈
合束为柴 卧薪励志
明察秋毫 秋毫明察
日月重光 无物不照
有色皆空 明察秋毫
勿失其时 随时而动
光腾银汉 辉映宝山
金钗十二 珠履三千
双南品重 千镒名高
量才使用 备货充盈
笙磐同声 阳律阴吕
笺染云生 翠枝云布
黄蕊星罗 画为流美
书以言情 书为心画
法备晋唐 涛听东浙
印话西泠 天机活泼
蓝筚开山 夏宜麻葛
冬用毛棉 白疑叠雪
朱若含春 轻裘被服
罗绮生香 经纶天下
开畦剪棘 灌圃浇蔬
软菘带露 早韭含春
调和五味 福利万民
长长长长 对联集锦
小山承盖 大河前横
月明如画 江流有声
移花得蝶 买石饶云
沱潜既道 江汉朝宗
亭如人好 月比山高
水流花放 路转峰回
裁云作幕 连山为屏
竹影参差 鸟声上下
寒玉作响 飞泉仰流
遗世独立 与天为徒
中央宛在 一半勾留
郁郁佳气 泱泱大风
水天一色 梅竹双清
江山如画 鱼鸟亲人
千峰仰止 万派朝宗
树犹高卧 我亦归来
大江东去 爽气西来
弦歌渺矣 吾道非耶
心清水浊 山矮人高
及其至也 不亦乐乎
得未曾有 从无始来
明月作昼 春桃生花
海上神山 仙人旧馆
门无凤字 座有鸡淡
因树为屋 开门见山
故烧高烛 乞借春阴
无问津者 是看花人
虚室生白 其曲弥高
东山高卧 老子犹龙
无大邱壑 是小林泉
听鸟说甚 问花笑谁
且食蛤蜊 安知鸿鹄
抗心千古 当户一峰
大汉千古 先生一人
万人之敌 千古之英
威震华夏 志在春秋
允文允武 乃圣乃神
凛凛生气 悠悠苍天
帝出乎震 人生于寅
吾土地也 有社稷焉
帝天同德 吴粤一家
天监有赫 后德无疆
天监厥德 后来其苏
六月六日 秋雨秋风
修其天爵 教以人伦
如天上坐 在水中央
帝出乎震 峻极于天
你来了么 望那里走
不生不灭 有干有年
克配上帝 阴骘下民
天地橐钥 花草精神
降尔遐福 怀我好音
基开苦县 派衍甜溪
兄弟既翕 神人以和
兰竹竞秀 金石同坚
大欢喜地 小竺迦天
嵩呼万岁 天保九如
老龙听法 顽石点头
三摩初地 百粤丛林
娶妻必宋 占梦维熊
日试万言 风行四海
阿堵传神 入门见喜
人间老子 天上长庚
任天下重 为古来稀
文成一子 寿亚五雷
少长咸集 歌哭于斯
生无一面 死不二心
公死活国 我生背时
孰杀子产 我负伯仁
风流顿尽 天道无知
卿离浊世 我叹无家
经纶天下 衣被苍生
布衣兴国 蓝筚开山
青霜武库 紫洞云台
财力雄富 士马精妍
警于有众 察其所安
中流击楫 大雅扶轮
闭门种莱 开阁延宾
西园翰墨 北府旌旗
厘麰遗我 金玉其相
左宜右有 上君下民
斯是陋室 我有嘉宾
且住为佳 园涉成趣
与民同乐 孰法如山
天作君师 门罗将相
傍百年树 读万卷书
纳于大麓 藏之名山
为王者佐 近圣人居
博学于文 行己有耻
武有七德 备于一人
冠冕南极 砥柱中流
大道不器 庸德之行
荆襄武库 江汉文澜
说法似佛 储材于山
圣功养正 王道观乡
学稼学圃 树木树人
广二南化 开九澧先
法随时变 政在人为
惟楚有材 于豳斯馆
桂林香近 梅岭春先
年岁常熟 黼黻昭文
洲边草绿 江上峰青
惟桑与梓 生甫及申
圣贤桑梓 海岱人文
嘉会合礼 应运生才
前言非戏 翼日乃瘳
大风歌汉 同日咏霓
天然图画 一曲阳春
吉日维戊 太岁在寅
太岁在甲 我生不辰
人我皆醉 天地一沤
水火既济 黍稷惟馨
人间何世 余情信芳
行己有耻 博学于文
芦中人出 河上公来
室靡弃物 家无闲人
诗酒名士 烟火神仙
修我墙屋 反其耄倪
群空冀北 家在江南
聊复尔尔 对此茫茫
倔强犹昔 沉吟至今
初三元旦 第二新年
大田多稼 有酒盈樽
如砥如矢 至鲁至齐
且图良晤 莫负名园
忍独为醒 有如此园
博施济众 救灾恤邻
卜云其吉 何用不臧
西南其户 道义之门
斯是陋室 每有良朋
其来有自 且住为佳
小人下达 君子中庸
得过且过 自然而然
亦足千古 忽然半生
幽兰空谷 大木崇山
四山葱郁 十亩桑闲
神州异域 旧历新年
三朝内阁 九省封疆
门生天子 天子门生
且食蛤蜊 安问狐狸
何必读书 请学为圃
易其田畴 修我墙屋
东坡荐士 南丰赠文
当今之世 与古为徒
志在千里 心醉六经
依然故我 又是新年
奉公守法 祀事孔明
大好山水 小有乾坤
古道自处 今人与居
文章魁首 星斗罗胸
青苔生壁 残照当门
问天无语 与鬼为邻
清凉世界 烟火神仙
青出于蓝 素以为绚
置邮传命 为政在人
永矢弗谖 安贞之吉
清谈挥麈 记事有珠
群盗如毛 大家努力
自强不息 治具毕张
一月三捷 心雄万夫
因财救弊 宣德同仁
博施济众 救灾恤邻
地中有水 山下出泉
山地大吉 建造万年
故老掩涕 秋风生哀
励此晚节 鼓其芳风
临流赋诗 因树为屋
春官桃李 人镜芙蓉
因人而济 迁地为良
老倦捶钩 拙甘抱瓮
卢橘夏熟 桂树冬荣
与物同春 于时为瑞
如花解语 秋水为神
喜从天外 如在其中
桂堂东畔 喜子今朝
双柑斗酒 朱箔银屏
阳春白雪 国色天香
奇峰入汉 高浪驾天
冬日可爱 秋露如珠
艳如桃李 云想衣裳
小乔夫婿 姑射仙人
其秀在骨 似兰斯馨
美如冠玉 云想衣裳
金生丽水 玉出良岗
织嫌织素 怜我怜卿
一之为甚 妙不可言
杨氏为我 尤物移人
杜园贾谊 热熟颜回
黄耇无疆 白圭有玷
士为知己 卿本佳人
风流骸骨 生色髑髅
九百不死 六十犹痴
锦衣西席 翰苑东床
顾我则笑 问道于盲
贤哉相国 卓尔名臣
善颂善祷 美奂美轮
三娘教子 四郎探母
张义得宝 蒋干偷书
黑驴告状 苍蝇报恩
草船借箭 辕门射戟
问樵闹府 打渔杀家
桑园寄子 席棚认妻
蒋忠打虎 周处斩蛟
五老聚会 二美争风
诱妻还妻 搜孤救孤
三气周瑜 七擒孟获
武松杀嫂 目莲救母
伯牙碎琴 翠香寄柬
元帅打更 秀才讨饭
人前屋漏 日里鸡吗
人影在地 洞庭始波
师还一旅 月散三边
斗南一人 海东三老
伏虎禅师 乾隆皇帝
坐宫盗令 行路哭灵
卖马当剑 打鱼杀家
问樵闹府 打侄上坟
三搜索府 六出祁山
捉曹放曹 搜孤救孤
托兆碰碑 举鼎观画
辕门射戟 樊城下书
采花赶府 搜诏逼宫
刀劈五虎 水淹七军
嫦娥奔月 黛玉葬花
失印救火 探庄射灯
春香闹学 秋胡还家
扫地挂画 挑帘裁衣
罗通扫北 狄青征西
大骗小骗 前亲后亲
三娘教子 六郎别兄
秦琼卖马 时迁偷鸡
曹庄杀狗 陈健变羊
漆匠嫁女 浪子烧灵
钟馗嫁妹 霸王别姬
背娃入府 带子上朝
算粮登殿 打棍出箱
坐楼杀媳 小晏逼宫
举鼎观画 托兆碰碑
盗壶犯案 搜杯审头
三朝元老 五毁大夫
崂山道士 沂水秀才
嘉平公子 元少先生
宋朝司马 陈代子禽
子贡阳货 孙贾瘠环
干木柴也 滕更参乎
逢蒙西子 季随南人
姜女瞽瞍 冯妇颜般
右师毕战 左邱灭明
距心弗扰 阳肤宜生
郑五宰相 马二先生
有价证券 无期徒刑
林处士墓 陆宣公祠
赤金飘带 雪青牡丹
金钱落地 玉凤朝阳
金云托日 紫凤朝阳
玉堂金马 凰管鸾笙
金龙探爪 紫凤舒翎
紫龙开爪 翠雀闹林
额拉和布 腰系战裙
塔郭沫若 瓶郭沫若
铁彭维基 煤谢家荣
末日滕刚 暮春许杰
飘浮许杰 追求茅盾
厄运芳草 隐刑凫公
天问陈铨 市声姬文
紫色的梦 明月之歌
名优遇盗 侠女破奸
社会柱石 稗苑琳琅
异乡纪游 罗瞿悲剧
青牛道士 黄鱼孝廉
子车针虎 藤本铁熊
白梅和尚 绿萝山神
冬季讽经 秋爽来学
诚意高香 细心坚烛
黄花闺女 白木监生
相女配夫 讨妻看舅
关门养贼 坐产招夫
瓜熟蒂落 藕断丝连
骑骡擂鼓 对牛弹琴
蚂蚁官儿 猢狲君子
猫头公事 狗脸亲家
尖头蚱蜢 长脚鹭鹚
六根清净 八节平安
瓜熟蒂落 藕断丝连
麻皮擦痒 豆腐开荤
苦中作乐 死里逃生
棋逢敌手 酒落欢场
说说笑笑 哭哭啼啼
坐坐再走 去去就来
心高气傲 耳聪目明
偷寒送暖 吃醋咽酸
鱼龙混杂 猫鼠同眠
手忙脚乱 目定口呆
豆腐架子 灯草拐儿
逆风吹火 顺水推船
勾肩搭背 抓耳搔腮
千金小姐 一等大王
隔靴抓痒 画饼充饥
守株待兔 打草惊蛇
无干有万 接二连三
般般皆会 帐帐不清
小题大做 旧店新开
南征北讨 东倒西歪
刮骨疗毒 挖肉补疮
漫天讨价 坐地分赃
上上下下 高高低低
骑骡打鼓 对牛弹琴
快活公子 邋遢婆娘
打退堂鼓 扯顺风旗
放马后炮 吃眼前亏
看货卖货 在行怨行
说话引话 将心比心
猢狲君子 蚂蚁官儿
打大骂小 宠妾灭妻
水底捞月 雪上加霜
露水夫妻 酒肉兄弟
顺水撑船 畚雪填井
一厢情愿 两不吃亏
对牛弹琴 捉猪上凳
纸糊老虎 牵线猢狲
踏梯望月 坐井观天
嫁狗随狗 骑驴觅驴
好猫勿叫 笨鸟先飞
牵牛下井 调虎离山
出路有路 过桥拔桥
借花献佛 撒豆成兵
横七竖八 接二连三
直脚野人 平头百姓
黄婆骂鸡 张公养鸟
老虎头颈 山鸡肚肠
偷粪老鼠 侦食野猫
一佛出世 两子送终
猢狲上树 老鼠搬姜
钝光菩萨 苦恼天尊
有钱施主 无业游民
人穷志短 马瘦毛长
就汤下面 借风过河
偷天换日 打草惊蛇
风吹草动 日晒雨淋
张头立耳 有口无心
拿轻怕重 说短道长
埋头捉笔 信口开河
一伸一缩 半吐半吞
平头绅士 赤脚斯文
因小失大 随方就圆
饮摸须酒 吃剥皮斋
借花献佛 打草惊蛇
软来硬受 死打活挨
平眼估值 捻鼻焦干
糯米尊长 草包师爷
酒肉兄弟 柴米夫妻
雪里送炭 火上浇油
平头绅士 瞎眼光棍
风吹草动 雷打火烧
人情不熟 客气太多
客不送客 亲上加亲
十月满足 一年到头
名利两得 富贵双全
同胞兄弟 结发夫妻
寿头码子 蹩脚姑娘
瞎三话四 抗七打八
风吹草动 水涨船高
拿轻怕重 走东说西
得一望二 重三把四
吃寡烧酒 得混来财
放阴阳火 吃冷淡杯
人情世故 天理良心
手忙脚乱 目定口呆
皮出肉出 衣光帽光
三长两短 七高八低
上三下四 横七竖八
推车撞壁 立马待桥
白手成家 赤心为国
横前落后 指东说西
专心致志 聚精会神
细气细声 粗吃粗做
缠七夹八 半二弗三
掇臀捧屁 爆眼落睛
无毛小狗 坏脚百哥
断翎鸽子 厚皮猪奴
偷油老鼠 煞粪癞团
一团和气 满面春风
